type;name
class;Azure.AI.Projects.Agents.A2APreviewTool
class;Azure.AI.Projects.Agents.A2APreviewToolboxTool
class;Azure.AI.Projects.Agents.AgentsSkill
class;Azure.AI.Projects.Agents.BingCustomSearchConfiguration
class;Azure.AI.Projects.Agents.BingCustomSearchPreviewTool
class;Azure.AI.Projects.Agents.BingCustomSearchToolOptions
class;Azure.AI.Projects.Agents.BrowserAutomationPreviewTool
class;Azure.AI.Projects.Agents.BrowserAutomationPreviewToolboxTool
class;Azure.AI.Projects.Agents.BrowserAutomationToolConnectionParameters
class;Azure.AI.Projects.Agents.BrowserAutomationToolOptions
class;Azure.AI.Projects.Agents.CreateSkillVersionFromFilesBody
class;Azure.AI.Projects.Agents.ExternalAgentDefinition
class;Azure.AI.Projects.Agents.FabricDataAgentToolOptions
class;Azure.AI.Projects.Agents.FabricIQPreviewTool
class;Azure.AI.Projects.Agents.FabricIQPreviewToolboxTool
class;Azure.AI.Projects.Agents.MemorySearchPreviewTool
class;Azure.AI.Projects.Agents.MemorySearchToolOptions
class;Azure.AI.Projects.Agents.MicrosoftFabricPreviewTool
class;Azure.AI.Projects.Agents.OptimizationAgentIdentifier
class;Azure.AI.Projects.Agents.OptimizationCandidate
class;Azure.AI.Projects.Agents.OptimizationDatasetCriterion
class;Azure.AI.Projects.Agents.OptimizationDatasetInput
class;Azure.AI.Projects.Agents.OptimizationDatasetInputType
class;Azure.AI.Projects.Agents.OptimizationDatasetItem
class;Azure.AI.Projects.Agents.OptimizationEvaluatorRef
class;Azure.AI.Projects.Agents.OptimizationInlineDatasetInput
class;Azure.AI.Projects.Agents.OptimizationJob
class;Azure.AI.Projects.Agents.OptimizationJobInputs
class;Azure.AI.Projects.Agents.OptimizationJobListItem
class;Azure.AI.Projects.Agents.OptimizationJobProgress
class;Azure.AI.Projects.Agents.OptimizationJobResult
class;Azure.AI.Projects.Agents.OptimizationOptions
class;Azure.AI.Projects.Agents.OptimizationReferenceDatasetInput
class;Azure.AI.Projects.Agents.PromotionInfo
class;Azure.AI.Projects.Agents.ReminderPreviewToolboxTool
class;Azure.AI.Projects.Agents.SharePointGroundingToolOptions
class;Azure.AI.Projects.Agents.SharepointPreviewTool
class;Azure.AI.Projects.Agents.SkillDeletionResult
class;Azure.AI.Projects.Agents.SkillInlineContent
class;Azure.AI.Projects.Agents.SkillVersion
class;Azure.AI.Projects.Agents.SkillVersionDeletionResult
class;Azure.AI.Projects.Agents.ToolboxSearchPreviewToolboxTool
class;Azure.AI.Projects.Agents.WorkflowAgentDefinition
class;Azure.AI.Projects.Agents.WorkIQPreviewTool
class;Azure.AI.Projects.Agents.WorkIQPreviewToolboxTool
field;Azure.AI.Projects.Agents.CreateAgentVersionRequest::definition
field;Azure.AI.Projects.Agents.CreateAgentVersionRequest::draft
field;Azure.AI.Projects.Agents.ProjectsAgentVersion::draft
